手机型号,价格,详细信息,加入购物车
,,,
红米5-2+16G公开全网通不换机黑色(图),￥620.00,5.7寸 全面屏 骁龙450 1200万,购
,,,
小米6X-6+128G公开全网通不换机曜石黑,￥1660.00,6GB+128GB 5.99英寸 2000万像,购
,,,
红米5-3+32G公开全网通不换机金色(图),￥708.00,5.7寸 全面屏 骁龙450 1200万,购
,,,
小米6X-6+64G公开全网通不换机冰川蓝,￥1430.00,6GB+64GB 5.99英寸 2000万像素,购
,,,
红米5-3+32G公开全网通不换机蓝色(图),￥720.00,5.7寸 全面屏 骁龙450 1200万,购
,,,
小米6X-6+64G公开全网通不换机赤炎红,￥1425.00,6GB+64GB 5.99英寸 2000万像素,购
,,,
红米5A-2+16G公开全网通不换机粉(图),￥524.00,5.0寸2+16全网骁龙425四核,购
,,,
小米6X-6+64G公开全网通不换机樱花粉,￥1425.00,6GB+64GB 5.99英寸 2000万像素,购
,,,
红米5A-2+16G公开全网通不换机金(图),￥527.00,5.0英寸 骁龙四核,购
,,,
小米6X-6+64G公开全网通不换机曜石黑,￥1410.00,6GB+64GB 5.99英寸 2000万像素,购
,,,
红米5A-3+32G公开全网通不换机灰,￥590.00,5.0英寸 骁龙四核,购
,,,
小米6 -6+128G公开全网通不换机亮黑色(图),￥2640.00,官网5.15英寸四曲面 骁龙835 双摄,购
,,,
红米5A-3+32G公开全网通不换机金,￥605.00,5.0英寸 骁龙四核,购
,,,
小米6 -6+128G公开全网通不换机原封蓝(图),￥2600.00,官网5.15英寸四曲面 骁龙835 双摄,购
,,,
红米5Plus-3+32G公开全网通不换机金色(图),￥760.00,5.99英寸 全面屏 八核骁龙625 12,购
,,,
小米6-4+64G 公开全网通不换机亮黑(图),￥1940.00,5.15英寸四曲面 骁龙835 双摄,购
,,,
红米5Plus-3+32G公开全网通不换机玫瑰金(图),￥756.00,5.99英寸 全面屏 八核骁龙625 12,购
,,,
小米6-4+64G 公开全网通不换机原封蓝(图),￥1960.00,5.15英寸四曲面 骁龙835 双摄,购
,,,
红米5Plus-3+32G公开全网通不换机浅蓝(图),￥757.00,5.99英寸 全面屏 八核骁龙625 12,购
,,,
小米6-6+64G 公开全网通不换机亮黑色(图),￥2150.00,官网5.15英寸四曲面 骁龙835 双摄,购
,,,
红米5Plus-4+64G公开全网通不换机黑色(图),￥955.00,5.99英寸 全面屏 八核骁龙625 12,购
,,,
小米8SE-4+64G公开全网通不换机黑,￥1720.00,官网 5.88寸 骁龙710 1200+500万,购
,,,
红米5Plus-4+64G公开全网通不换机金色(图),￥955.00,5.99英寸 全面屏 八核骁龙625 12,购
